Timepoint	Time [s]	Object ID	X	Y	Tracked Nuclei - Age [s]	Tracked Nuclei - Current Displacement X [µm]	Tracked Nuclei - Current Displacement Y [µm]	Tracked Nuclei - Track Point X	Tracked Nuclei - Track Point Y	Tracked Nuclei - Current Step Size [µm]	Tracked Nuclei - Current Speed [µm/s]	Tracks: Tracked Nuclei - Start Type	Tracks: Tracked Nuclei - End Type	Tracks: Tracked Nuclei - Parent ID	Tracks: Tracked Nuclei - Root ID	Tracks: Tracked Nuclei - Accumulated Distance [µm]	Tracks: Tracked Nuclei - Displacement [µm]
20	40	6	562	4	40.03	2.483	-0.9932	555	4	1.053	0.5267	Begin	End	6	6	20.08	3.18
21	42	6	548	2	42.03	3.476	0	557	6	0.7023	0.3512	Begin	End	6	6	20.08	3.18
22	44	6	551	4	44.03	3.476	0	557	6	0.2483	0.1236	Begin	End	6	6	20.08	3.18
23	46	6	548	2	46.05	2.98	0	556	6	0.5995	0.3009	Begin	End	6	6	20.08	3.18
24	48	6	549	2	48.01	3.476	0.4966	557	7	0.3512	0.1763	Begin	End	6	6	20.08	3.18
25	50	6	554	5	50.03	3.476	0.4966	557	7	0.2483	0.1237	Begin	End	6	6	20.08	3.18
26	52	6	556	7	52.03	2.98	0.4966	556	7	0.5995	0.2985	Begin	End	6	6	20.08	3.18
27	54	6	548	3	54.05	2.483	0.9932	555	8	0.5995	0.2997	Begin	End	6	6	20.08	3.18
28	56	6	547	5	56.03	1.986	0.9932	554	8	0.5995	0.3022	Begin	End	6	6	20.08	3.18
29	58	6	548	7	58.01	2.483	1.49	555	9	0.8478	0.4221	Begin	End	6	6	20.08	3.18
30	60	6	562	10	60.05	2.483	2.483	555	11	0.7449	0.3694	Begin	End	6	6	20.08	3.18
31	62	6	548	10	62.05	2.483	1.986	555	10	0.4966	0.2483	Begin	End	6	6	20.08	3.18
0	0	11	316	10	0	0	0	321	13	0.7023	0.346	Begin	End	11	11	15.73	1.57
1	2	11	315	9	2.03	0.4966	-0.4966	322	12	0.5995	0.2963	Begin	End	11	11	15.73	1.57
2	4	11	315	8	4.047	0.4966	-0.9932	322	11	0.2483	0.1236	Begin	End	11	11	15.73	1.57
3	6	11	316	8	6.047	0.4966	-0.9932	322	11	0	0	Begin	End	11	11	15.73	1.57
4	8	11	321	10	8.03	0.4966	-0.9932	322	11	0	0	Begin	End	11	11	15.73	1.57
5	10	11	316	8	10.03	0.4966	-0.9932	322	11	0.2483	0.1236	Begin	End	11	11	15.73	1.57
6	12	11	316	8	12.05	0	-0.9932	321	11	0.4966	0.2473	Begin	End	11	11	15.73	1.57
7	14	11	319	9	14.05	0	-1.49	321	10	0.2483	0.1247	Begin	End	11	11	15.73	1.57
8	16	11	314	7	16.03	0	-1.49	321	10	0.2483	0.1242	Begin	End	11	11	15.73	1.57
9	18	11	316	8	18.05	-0.4966	-1.49	320	10	0.4966	0.2493	Begin	End	11	11	15.73	1.57
10	20	11	315	7	20.01	0	-1.49	321	10	0.2483	0.1236	Begin	End	11	11	15.73	1.57
11	22	11	317	8	22.06	0	-1.49	321	10	0	0	Begin	End	11	11	15.73	1.57
12	24	11	318	8	24.01	0	-1.49	321	10	0.3512	0.1756	Begin	End	11	11	15.73	1.57
13	26	11	315	9	26.06	-0.4966	-0.9932	320	11	0.7023	0.3498	Begin	End	11	11	15.73	1.57
14	28	11	318	9	28.03	-0.9932	-1.49	319	10	0.3512	0.1771	Begin	End	11	11	15.73	1.57
15	30	11	316	9	30.03	-0.9932	-1.49	319	10	0.2483	0.1236	Begin	End	11	11	15.73	1.57
16	32	11	316	9	32.05	-0.4966	-1.49	320	10	0.4966	0.2473	Begin	End	11	11	15.73	1.57
17	34	11	315	9	34.05	-0.9932	-1.49	319	10	0.2483	0.1247	Begin	End	11	11	15.73	1.57
18	36	11	316	9	36.03	-0.9932	-1.49	319	10	0.2483	0.1247	Begin	End	11	11	15.73	1.57
19	38	11	314	9	38.03	-1.49	-1.49	318	10	0.2483	0.1242	Begin	End	11	11	15.73	1.57
20	40	11	316	9	40.03	-1.49	-1.49	318	10	0.4966	0.2483	Begin	End	11	11	15.73	1.57
